symbol,as_of_date,price,sector,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,market_cap_cr,cfo_pat_ratio,source_updated_at,created_at,flag_inf_any_numeric,threshold_extreme_pe_sector_p995_pe_ratio,flag_extreme_pe_sector_p995,threshold_extreme_roe_sector_p995_avg_roe_5y,flag_extreme_roe_sector_p995,threshold_high_sales_cagr_sector_p995_sales_cagr_5y,flag_high_sales_cagr_sector_p995,as_of_age_days,flag_stale_as_of_date,issue_codes_hard_fail,issue_codes_warning,issue_codes_all,issue_count_hard_fail,issue_count_warning,issue_count_all,flag_has_hard_fail,flag_has_warning,flag_any_issue,row_action
TATAELXSI.NS,2026-02-14,4824.0,Technology,,,32.4,51.39,6.26,29806.04,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TATAINVEST.NS,2026-02-14,632.5,Financial Services,31.7,14.6,1.17,78.21,0.0,31776.37,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,435.26070000000004,False,54.42,False,855.65,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TATAPOWER.NS,2026-02-14,374.3500061035156,Utilities,,,10.46,31.55,1.56,119665.46,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,142.37805,False,104.36,False,38.36300000000002,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TATASTEEL.NS,2026-02-14,202.97999572753906,Basic Materials,,,10.63,0.32,1.0,254824.81,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TATATECH.NS,2026-02-14,598.25,Technology,,,20.01,44.39,6.92,23578.52,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TBOTEK.NS,2026-02-14,1520.5,Consumer Cyclical,,,28.32,62.11,0.52,15000.43,0.68,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TECHM.NS,2026-02-14,1534.4000244140625,Technology,27.0,5.88,15.6,28.47,6.99,131311.89,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TECHNOE.NS,2026-02-14,1043.199951171875,Industrials,,,11.94,25.85,1.57,12158.54,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VENTIVE.NS,2026-02-14,751.0,Consumer Cyclical,33.5,11.16,0.45,47.82,0.42,17555.32,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SIEMENS.NS,2026-02-14,3110.0,Industrials,,,15.47,65.17,0.0,110326.13,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VGUARD.NS,2026-02-14,323.5,Industrials,,,14.27,49.82,6.88,14218.29,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VMM.NS,2026-02-14,121.5,Consumer Cyclical,51.4,24.29,7.13,72.91,0.27,56898.49,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ARVINDFASN.NS,2026-02-14,482.95001220703125,Consumer Cyclical,38.7,14.8,-6.82,0.0,1.02,6464.87,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ASHOKA.NS,2026-02-14,151.60000610351562,Industrials,,,34.94,1.51,0.44,4286.12,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
ASKAUTOLTD.NS,2026-02-14,426.0,Consumer Cyclical,57.8,20.97,19.3,29.68,0.53,8408.13,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
AURIONPRO.NS,2026-02-14,932.0,Technology,,,16.23,25.78,1.84,5118.57,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
AVALON.NS,2026-02-14,1046.0,Technology,44.4,9.3,25.86,74.23,0.25,7117.71,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
AVANTIFEED.NS,2026-02-14,1424.3499755859375,Consumer Defensive,31.6,3.61,14.74,24.18,0.44,18603.06,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,134.99575,False,95.34,False,43.93,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
AWFIS.NS,2026-02-14,323.79998779296875,Industrials,35.5,67.48,-20.02,41.13,2.91,2400.9,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
AZAD.NS,2026-02-14,1586.0,Industrials,,,11.01,88.58,0.21,10228.46,-0.22,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
